Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.238472916,0.037054937,0.407073503,0.335351023,0.263715761,0.234036914,0.232175631,0.208857196,0.203327569,0.200151071,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.840840616,1.026213109,1.734823308,1.579091995,1.654524278,1.806788541,1.759987059,1.714126173,1.948872038,1.939731563,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.635596776,2.531711792,3.222459523,3.387554626,3.406123235,3.566208834,3.674232947,3.535019927,3.505747662,3.591657418,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.521831658,7.952286282,5.850885991,5.944654058,5.942800545,5.807127618,6.026181837,6.080600298,6.104133927,5.97340536,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.534250026,0.754476372,1.216316979,1.204798883,1.261541742,1.285364553,1.260920989,1.227702942,1.0343173,0.887380364,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,3.358226856,4.341705369,5.714285714,7.96398509,5.136050705,5.18571336,5.236665206,5.289885738,5.239717055,5.504663385,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.06082582,3.577628213,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,5.610254358,1.159761363,1.71734336,1.9831921,1.89812717,1.881607731,1.825292192,1.726752782,1.806581049,1.880246268,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,15.44673046,17.68965697,17.26811037,16.96925656,16.398646,15.7558761,15.7864494,15.87207954,15.7386474,15.47551649,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.58936421,7.929785513,8.135474781,7.723614414,7.753699576,7.253383781,7.306745266,7.255626516,7.482751479,7.146637625,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,8.016501282,4.971050866,3.113457396,3.309026974,3.333403775,3.422100645,3.333906429,3.347061821,3.244356904,3.221402183,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,6.946964996,7.180123807,6.730017826,10.01152425,8.470375475,7.069139966,6.333511491,5.794831222,5.631972841,5.86046391,0.0,0.0
