Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1410929362
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404
"Population, total",SP.POP.TOTL,France,FRA,58235716,60912500,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67391582
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83240525
"Population, total",SP.POP.TOTL,Guatemala,GTM,9050115,11589761,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333
"Population, total",SP.POP.TOTL,India,IND,873277799,1056575548,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
"Population, total",SP.POP.TOTL,Jamaica,JAM,2419901,2654698,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161
"Population, total",SP.POP.TOTL,Mexico,MEX,83943135,98899845,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
"Population, total",SP.POP.TOTL,Pakistan,PAK,107647918,142343583,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1828437,3134067,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67215293
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
