Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,4.47695438,2.975057223,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093
Population growth (annual %),SP.POP.GROW,Albania,ALB,1.799085593,-0.637356834,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.577942252
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.566460252,1.35841747,1.883308586,1.951463675,2.002703605,2.033587155,2.045372088,2.051352373,2.044909313,2.007398663,1.933983344,1.836533504
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,3.125354917,1.335500631,-0.588347444,-0.154365338,0.086186779,0.132725923,0.026882443,-0.120130903,-0.219117154,-0.280883888,-0.269018786,-0.20812792
Population growth (annual %),SP.POP.GROW,Andorra,AND,3.844901422,1.575272637,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.378411204,3.277215347,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.84471355,1.769346866,1.376375519,1.288027737,1.21265579,1.143043433,1.084181616,1.00909459,0.952914631,0.894078681,0.861445784,0.833667149
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.452964749,1.100608135,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991
Population growth (annual %),SP.POP.GROW,Armenia,ARM,0.047804574,-0.630760588,-0.027042763,0.267429455,0.461930535,0.509812126,0.450705992,0.361260408,0.293899006,0.235799808,0.202624028,0.185983345
Population growth (annual %),SP.POP.GROW,Aruba,ABW,1.816829615,2.06484056,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.479978016,1.192272323,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.258698172
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.762001611,0.240466652,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.419000873
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.675750576,0.821519964,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.684365325
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.76749062,1.345045172,1.30075352,1.105707898,0.980106184,0.93876022,0.959964409,0.990005733,1.007285341,1.012800167,0.99365949,0.961253495
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,3.039308338,4.315314275,2.960815592,1.690358099,1.153907053,1.587599572,2.642766637,3.856576946,4.678047471,4.921024296,4.468687834,3.615324808
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,2.429600981,1.952390462,1.143828671,1.154006105,1.155950914,1.142930216,1.119091033,1.095288404,1.075535249,1.0535703,1.029196649,1.002774181
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.373204962,0.389692835,0.302945811,0.25093319,0.209862188,0.186604262,0.176093438,0.164937661,0.150692216,0.143488326,0.132831082,0.121868008
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.190065083,-0.471131335,-0.234282914,-0.1566176,-0.03838,0.056151568,0.132853237,0.087721088,-0.109782323,-0.213824207,-0.201786601,-0.42347525
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.298235706,0.242517956,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.455184695,0.540461327,0.581620792
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.201018709,3.426692846,2.381294716,2.324130368,2.254274143,2.19127515,2.116860418,2.049363877,1.982397008,1.922979057,1.882598378,1.845295592
Population growth (annual %),SP.POP.GROW,Benin,BEN,3.234835391,2.983861929,2.803761755,2.797721181,2.790716434,2.78209237,2.771837886,2.761360928,2.749902222,2.734856203,2.71521855,2.692373813
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.820876765,0.890208774,-0.863616496,0.361775877,0.312791571,0.210544188,0.151869636,-1.05247098,-1.060534596,0.07199199,-0.009387321,-0.015647493
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.63882358,2.24630884,1.130706223,1.187930628,1.22581161,1.233916731,1.220800019,1.20458294,1.195073959,1.17777914,1.146379252,1.110061141
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,2.115822569,1.933502534,1.622359801,1.600043615,1.574579287,1.544977169,1.512942433,1.480195967,1.449144413,1.421890804,1.399133355,1.379527583
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.989770812,0.208765697,-1.20286774,-1.546958415,-1.745364744,-1.722307312,-1.526304511,-1.264728458,-1.030880199,-0.827063452,-0.692266996,-0.613297985
Population growth (annual %),SP.POP.GROW,Botswana,BWA,3.340333628,2.033083991,1.414135504,1.190902166,1.12138806,1.255951583,1.525068549,1.831973136,2.068847655,2.197416468,2.178168817,2.058875027
Population growth (annual %),SP.POP.GROW,Brazil,BRA,1.811518838,1.424167442,0.915965178,0.893525507,0.873605696,0.855795964,0.838838953,0.823752153,0.807145245,0.78384426,0.751550842,0.712872791
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,3.621306159,1.422964589,1.888798534,1.151293868,0.681694348,0.466846184,0.560784502,0.707658971,0.719598502,0.768171966,0.795618291,0.676956294
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,2.845518053,2.108725655,1.291815066,1.339772073,1.348520767,1.31764439,1.24557202,1.168569854,1.111027783,1.049642828,1.005742274,0.961675068
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-1.803750479,-0.493896417,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468,-0.701382098,-0.730443175,-0.722080405,-0.703905641,-0.600241518
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.659198504,2.842006974,3.009045176,2.997403812,2.981663984,2.961875333,2.939350568,2.915213081,2.890750882,2.866979114,2.844596498,2.823230736
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.45479768,1.767228872,3.207713007,3.159785095,3.133498082,3.136756792,3.156907954,3.177014855,3.181200079,3.166911697,3.128932148,3.07610176
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,2.024479835,1.819916037,1.253468245,1.271405705,1.27811404,1.269123534,1.239498293,1.212273815,1.190125956,1.158842966,1.128657862,1.094480346
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,3.218335816,2.23601611,1.588852798,1.63044345,1.64983634,1.638116847,1.603680771,1.565214466,1.530274527,1.490343156,1.446411842,1.399965097
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.053590985,2.62105318,2.74047938,2.731249489,2.71824869,2.701524614,2.681848111,2.660502066,2.637754334,2.612284161,2.584178982,2.554309999
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.507660673,0.931281553,0.978697787,1.085817263,1.056591259,1.005337579,0.746339478,1.132348655,1.199682154,1.412548033,1.4150147,1.089591487
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,5.186122032,4.550635247,2.103980744,1.85900595,1.631714308,1.515167957,1.424527838,1.356580324,1.298987665,1.238706903,1.201997124,1.181634344
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2.197486883,2.289540499,0.723967673,0.401398611,0.259647553,0.364133903,0.647515777,0.985784079,1.277483497,1.519117467,1.674661628,1.766844992
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.226267661,3.68276825,3.363538247,3.370767564,3.351068934,3.296899421,3.221999844,3.143932997,3.077506736,3.023504548,2.986130147,2.95935371
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.78285688,0.598666617,0.793249105,0.656884925,0.607833549,0.652921811,0.776952806,0.923845528,1.03937906,1.0791408,1.031634777,0.921644208
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.63946957,1.177185279,0.99751484,0.96308,0.978805917,1.061178671,1.177717857,1.325206878,1.425141421,1.391064233,1.182932566,0.862530028
Population growth (annual %),SP.POP.GROW,China,CHN,1.467303211,0.787956593,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.225947587
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.967944384,1.603751902,0.968365031,0.900335047,0.906920982,1.01048975,1.170445199,1.367649952,1.513747435,1.524235944,1.356788043,1.073767493
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.948800751,2.521578956,2.418267863,2.417131148,2.408508535,2.382548316,2.348455985,2.309273696,2.27324455,2.239416344,2.206465058,2.174355026
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.370795322,2.550440473,3.337675974,3.33757067,3.33135585,3.319678158,3.302819182,3.282934175,3.258505772,3.226698861,3.187086265,3.142651608
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.734809305,2.886679062,2.794272642,2.590925272,2.465044708,2.440535492,2.483756987,2.53956659,2.570670576,2.581720867,2.562826461,2.525009828
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,2.611876649,1.960893366,1.20983529,1.178352346,1.147570301,1.117264454,1.087098543,1.057366054,1.02787999,0.99480206,0.957865009,0.918059925
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,3.606606985,2.598625449,2.38552681,2.435943204,2.47667885,2.50449559,2.522164778,2.536128605,2.54778157,2.552322341,2.549387092,2.540584565
Population growth (annual %),SP.POP.GROW,Croatia,HRV,0.211805086,-0.986434859,-0.345264228,-0.305655945,-0.278509063,-0.407343185,-0.824099164,-0.698383457,-1.200610165,-0.893486928,-0.554146739,-0.445069569
Population growth (annual %),SP.POP.GROW,Cuba,CUB,0.881662573,0.375938668,0.096498599,0.181748047,0.227242233,0.214142579,0.157902542,0.09118317,0.036578757,-0.009780662,-0.041126289,-0.060617563
