Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Afghanistan,AFG,2628555,4587799,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982,9797274,10131490
Urban population,SP.URB.TOTL,Albania,ALB,1197222,1289391,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762579
Urban population,SP.URB.TOTL,Algeria,DZA,13416508,18600199,25016299,25763114,26536380,27332603,28146508,28977623,29821728,30670076,31510100,32332690
Urban population,SP.URB.TOTL,American Samoa,ASM,38330,51217,48787,48666,48668,48699,48684,48603,48481,48336,48203,48106
Urban population,SP.URB.TOTL,Andorra,AND,51626,60417,74306,73056,71511,70057,68903,68211,67873,67815,67876,67928
Urban population,SP.URB.TOTL,Angola,AGO,4400964,8212003,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724,21061028,21962884
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,22153,24419,22940,23077,23198,23302,23393,23484,23582,23684,23799,23927
Urban population,SP.URB.TOTL,Argentina,ARG,28373005,32867365,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,41339571,41796990
Urban population,SP.URB.TOTL,Armenia,ARM,2385466,1984986,1821998,1823993,1830236,1838076,1845589,1852180,1858250,1863995,1869846,1876112
Urban population,SP.URB.TOTL,Aruba,ABW,31274,42450,43820,44059,44351,44666,44978,45293,45614,45949,46294,46654
Urban population,SP.URB.TOTL,Australia,AUS,14579227,16133530,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21488110,21845994,22152761
Urban population,SP.URB.TOTL,Austria,AUT,4833974,4824004,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5153759,5196085,5238680
Urban population,SP.URB.TOTL,Azerbaijan,AZE,3856598,4135854,4920166,5008847,5098727,5189181,5279540,5368846,5453517,5534464,5616706,5692217
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,204567,244418,296570,300071,303261,306388,309636,313041,316565,320173,323788,327359
Urban population,SP.URB.TOTL,Bahrain,BHR,437110,587329,1133658,1153855,1168206,1187969,1220935,1270239,1332508,1401306,1467102,1523019
Urban population,SP.URB.TOTL,Bangladesh,BGD,20439396,30114490,46610536,48311264,50047694,51817405,53608407,55423124,57259998,59115518,60987421,62873466
Urban population,SP.URB.TOTL,Barbados,BRB,97511,91844,89707,89515,89351,89230,89162,89149,89186,89280,89430,89634
Urban population,SP.URB.TOTL,Belarus,BLR,6723034,6983033,7114020,7150971,7195632,7246350,7302153,7354014,7390686,7418413,7445754,7455467
Urban population,SP.URB.TOTL,Belgium,BEL,9606261,9956937,10784163,10856360,10912673,10966157,11034732,11095615,11143219,11198627,11263911,11334006
Urban population,SP.URB.TOTL,Belize,BLZ,89023,112274,149359,152932,156543,160198,163882,167603,171357,175155,179038,183005
Urban population,SP.URB.TOTL,Benin,BEN,1716832,2631923,4125678,4293033,4466251,4646154,4832686,5026050,5226414,5433800,5648149,5869446
Urban population,SP.URB.TOTL,Bermuda,BMU,59326,61833,64564,64798,65001,65138,65237,64554,63873,63919,63913,63903
Urban population,SP.URB.TOTL,Bhutan,BTN,86988,150224,246710,255172,263845,272651,281531,290468,299470,308510,317539,326515
Urban population,SP.URB.TOTL,Bolivia,BOL,3815272,5201396,6829809,6985733,7137082,7285464,7434136,7583054,7732023,7881917,8033037,8185478
Urban population,SP.URB.TOTL,Bosnia and Herzegovina,BIH,1751849,1589898,1679673,1665461,1647981,1631018,1617733,1609084,1604580,1603630,1605143,1608256
Urban population,SP.URB.TOTL,Botswana,BWA,539575,874565,1287139,1320976,1352456,1386175,1424167,1467302,1514887,1565359,1616554,1666761
Urban population,SP.URB.TOTL,Brazil,BRA,110146164,141915772,167158531,169240747,171300683,173346780,175375428,177386817,179379296,181335496,183241634,185081854
Urban population,SP.URB.TOTL,British Virgin Islands,VGB,6613,8486,12790,13038,13229,13396,13578,13784,13996,14219,14451,14669
Urban population,SP.URB.TOTL,Brunei Darussalam,BRN,171884,237094,296486,301865,307343,312792,318086,323197,328175,332997,337720,342330
Urban population,SP.URB.TOTL,Bulgaria,BGR,5786939,5629167,5337678,5331472,5326274,5320503,5310996,5298039,5283539,5269340,5256027,5248079
Urban population,SP.URB.TOTL,Burkina Faso,BFA,1217244,2071323,4051999,4269915,4497998,4736621,4985853,5245964,5516712,5798635,6092351,6397866
Urban population,SP.URB.TOTL,Burundi,BDI,341077,526002,977810,1034996,1095417,1159265,1227129,1299254,1375680,1456375,1541177,1629988
Urban population,SP.URB.TOTL,Cabo Verde,CPV,149105,228797,310898,317397,324018,330712,337408,344094,350777,357427,364030,370577
Urban population,SP.URB.TOTL,Cambodia,KHM,1395346,2259173,3004694,3109364,3217889,3329690,3443896,3560344,3678963,3800502,3924621,4051341
Urban population,SP.URB.TOTL,Cameroon,CMR,4671629,7065360,10905610,11337561,11783317,12242757,12715788,13202430,13702217,14215415,14741260,15279799
Urban population,SP.URB.TOTL,Canada,CAN,21206427,24388404,27847821,28166078,28479640,28781576,29011826,29357013,29729597,30175132,30631841,30997832
Urban population,SP.URB.TOTL,Cayman Islands,CYM,25307,42305,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720
Urban population,SP.URB.TOTL,Central African Republic,CAF,1033582,1370218,1729234,1747414,1764188,1783838,1809714,1843116,1883450,1930199,1982061,2038064
Urban population,SP.URB.TOTL,Chad,TCD,1241012,1807913,2726092,2830799,2941282,3056812,3177085,3302147,3432531,3569009,3712275,3863362
Urban population,SP.URB.TOTL,Channel Islands,CHI,44161,45222,50053,50331,50586,50865,51207,51629,52141,52707,53283,53832
Urban population,SP.URB.TOTL,Chile,CHL,11053906,13205621,15015966,15171199,15330440,15504113,15698029,15918735,16159784,16400007,16610132,16770077
Urban population,SP.URB.TOTL,China,CHN,300165618,452999147,679390629,700996454,722694421,744357517,765822300,787376534,809246214,829760595,848982855,866705688
Urban population,SP.URB.TOTL,Colombia,COL,22999996,29309133,35769913,36262053,36759801,37299404,37904385,38592067,39346013,40115208,40827302,41431388
Urban population,SP.URB.TOTL,Comoros,COM,114708,152294,198124,203573,209277,215196,221336,227692,234270,241082,248154,255487
Urban population,SP.URB.TOTL,"Congo, Dem. Rep.",COD,10602701,16544510,27065208,28355104,29704529,31115108,32586913,34121209,35717778,37376674,39095679,40874034
